"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-01867"	6	"SB"	"WRB"	-5.22148751428571	0.915864003123787	0.0037337037037037	0.00647049382716049	4.1202962962963e-05	6.30054320987654e-06	9.85098765432099e-06	2	1004.41127
"BH-01867"	6	"SB"	"WRB"	-5.23257334285714	0.836236324464153	0.00397844444444444	0.00655266666666667	3.54222222222222e-05	6.67666666666666e-06	9.64044444444446e-06	2	1043.615351
"BH-01867"	6	"SB"	"WRB"	-5.47507584285714	0.459755273576	0.00419891358024691	0.0067800987654321	4.88088888888889e-05	7.02881481481481e-06	1.21177777777778e-05	3	1082.819468
"BH-01867"	6	"SB"	"WRB"	-5.42796107142857	0.411859166513048	0.00433343209876543	0.00657651851851852	5.54733333333334e-05	6.33014814814815e-06	1.81679012345679e-05	3	1121.408043
"BH-01867"	6	"SB"	"WRB"	-5.23673052857143	0.579950679485459	0.00401518518518519	0.00637111111111111	5.23703703703704e-05	5.72037037037037e-06	2.29025925925926e-05	3	1160.612338
"BH-01867"	6	"SB"	"WRB"	-5.00808531428572	0.716415142368828	0.0046076049382716	0.0061777037037037	3.90197530864198e-05	5.18906172839506e-06	7.56667901234571e-06	3	1199.816653
"BH-01867"	6	"SB"	"WRB"	-5.18823002857143	0.445583716194688	0.00470782716049383	0.00563427160493827	3.68303703703704e-05	5.27135802469136e-06	8.56058561728402e-07	3	1239.020984
"BH-01867"	6	"SB"	"WRB"	-5.54159081428571	-0.0044678133352301	0.00464444444444444	0.00558718518518519	4.98777777777778e-05	7.01807407407407e-06	7.28333016666668e-06	4	1278.225332
"BH-01867"	6	"SB"	"WRB"	-5.5263478	-0.0579989314004573	0.00575866666666667	0.00637125925925926	5.50641975308642e-05	9.41316049382716e-06	2.12276543209877e-05	4	1316.815097
"BH-01867"	6	"SB"	"WRB"	-5.23257334285714	0.317444111062355	0.00546135802469136	0.00631481481481482	3.79123456790123e-05	8.54777777777777e-06	2.32345679012346e-05	4	1356.019543
"BH-01867"	6	"SB"	"WRB"	-5.41133232857143	0.199223457791435	0.00464088888888889	0.00614133333333333	2.27955555555556e-05	5.57288888888889e-06	1.21004444444445e-05	4	1395.223996
"BH-01867"	6	"SB"	"WRB"	-5.49309031428572	0.0488195595352386	0.00524002469135802	0.00559955555555555	3.7874074074074e-05	6.68990123456789e-06	8.0333086419753e-06	5	1434.428458
"BH-01867"	6	"SB"	"WRB"	-5.5263478	-0.0503113176329388	0.00581259259259259	0.00595407407407407	4.63506172839506e-05	7.5256049382716e-06	1.88075061728395e-05	5	1473.632926
"BH-01867"	6	"SB"	"WRB"	-5.25890218571429	0.226360548128658	0.00599259259259259	0.00657022222222222	5.05051851851852e-05	7.80837037037037e-06	1.76318518518519e-05	5	1512.223528
"BH-01868"	9	"SB"	"WRB"	-6.88851898571429	-0.678996112215688	0.00314335511982571	0.0105145315904139	8.34605664488018e-05	1.01423747276688e-05	0.000146119607843137	1	39.44616585
"BH-01868"	9	"SB"	"WRB"	-7.00630591428571	-0.825452137473773	0.00338660130718954	0.0103621786492375	8.26315904139434e-05	1.09088453159041e-05	0.000237468409586057	1	80.77747211
"BH-01868"	9	"SB"	"WRB"	-6.9910629	-0.810100906980948	0.00360019607843137	0.00907392156862745	7.56320261437909e-05	1.00862091503268e-05	0.000183725490196078	1	120.2206305
"BH-01868"	9	"SB"	"WRB"	-6.92870511428571	-0.750883030912356	0.00466509803921569	0.00940067538126362	7.92498910675381e-05	1.35771241830065e-05	0.000111761873638344	1	161.5549442
"BH-01868"	9	"SB"	"WRB"	-6.88020461428571	-0.686961721399173	0.00560529411764706	0.00912091503267974	6.28331154684096e-05	1.82551198257081e-05	6.22398692810458e-05	1	200.9975124
"BH-01868"	9	"SB"	"WRB"	-6.89267617142857	-0.672625172689767	0.00461960784313725	0.00920549019607843	5.68660130718954e-05	1.06316339869281e-05	4.15235294117647e-05	1	240.9585027
"BH-01868"	9	"SB"	"WRB"	-6.94810531428571	-0.719628208147841	0.00359599128540305	0.00937339869281046	7.44708061002179e-05	6.28446623093682e-06	6.59760348583878e-05	1	281.7747327
