"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"	"rad"
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"3"	2019	195.4	3	758.4
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"4"	2020	149.5	3	907.9
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"edge"	NA	198.1	3	1106
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"core"	NA	NA	3	NA
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"1"	2019	576.9	3	576.9
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"2"	2020	297.4	3	874.3
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"edge"	NA	227.9	3	1102.2
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"core"	NA	NA	3	NA
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"1"	2017	489.4	3	489.4
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"2"	2018	287.7	3	777.1
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"3"	2019	167.7	3	944.8
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"4"	2020	106	3	1050.8
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"edge"	NA	54.3	3	1105.1
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"core"	NA	NA	3	NA
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"1"	2019	343.6	3	343.6
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"2"	2020	383.7	3	727.3
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"edge"	NA	93.3	3	820.6
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"core"	NA	NA	3	NA
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"1"	2012	501.8	3	501.8
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"2"	2013	174.9	3	676.7
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"3"	2014	228.8	3	905.5
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"4"	2015	191	3	1096.5
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"5"	2016	130.1	3	1226.6
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"6"	2017	103.7	3	1330.3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"7"	2018	113.3	3	1443.6
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"8"	2019	153.6	3	1597.2
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"9"	2020	115.3	3	1712.5
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"edge"	NA	68.6	3	1781.1
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"core"	NA	NA	3	NA
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"1"	2011	401.4	3	401.4
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"2"	2012	209.6	3	611
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"3"	2013	180.2	3	791.2
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"4"	2014	181.9	3	973.1
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"5"	2015	161.1	3	1134.2
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"6"	2016	128.2	3	1262.4
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"7"	2017	155.8	3	1418.2
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"8"	2018	140.3	3	1558.5
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"9"	2019	129.9	3	1688.4
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"10"	2020	93.4	3	1781.8
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"edge"	NA	69.4	3	1851.2
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"core"	NA	NA	3	NA
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"1"	2019	592.7	3	592.7
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"2"	2020	336.6	3	929.3
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"edge"	NA	226.1	3	1155.4
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"core"	NA	NA	3	NA
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"1"	2016	421.2	3	421.2
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"2"	2017	223.1	3	644.3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"3"	2018	144.5	3	788.8
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"4"	2019	101.5	3	890.3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"5"	2020	85.3	3	975.6
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"edge"	NA	40	3	1015.6
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"core"	NA	NA	3	NA
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"1"	2014	460.3	3	460.3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"2"	2015	229.5	3	689.8
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"3"	2016	269.5	3	959.3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"4"	2017	239	3	1198.3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"5"	2018	168.2	3	1366.5
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"6"	2019	110	3	1476.5
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"7"	2020	68.3	3	1544.8
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"edge"	NA	33.3	3	1578.1
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"core"	NA	NA	3	NA
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"1"	2012	322.3	3	322.3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"2"	2013	182	3	504.3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"3"	2014	184	3	688.3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"4"	2015	178.7	3	867
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"5"	2016	151.8	3	1018.8
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"6"	2017	115.8	3	1134.6
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"7"	2018	118.2	3	1252.8
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"8"	2019	140.3	3	1393.1
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"9"	2020	140.7	3	1533.8
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"edge"	NA	138.3	3	1672.1
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"core"	NA	NA	3	NA
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"1"	2015	420.1	3	420.1
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"2"	2016	251.6	3	671.7
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"3"	2017	175.5	3	847.2
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"4"	2018	149.4	3	996.6
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"5"	2019	170.1	3	1166.7
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"6"	2020	191.1	3	1357.8
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"edge"	NA	102.2	3	1460
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"core"	NA	NA	3	NA
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"1"	2019	310.9	3	310.9
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"2"	2020	289	3	599.9
"BH-01789"	2	2018	"KB"	600	1700	"m"	2020-02-26	356	"edge"	NA	158.9	3	758.8
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"core"	NA	NA	3	NA
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"1"	2015	532.7	3	532.7
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"2"	2016	202.7	3	735.4
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"3"	2017	92.4	3	827.8
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"4"	2018	117.6	3	945.4
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"5"	2019	116.3	3	1061.7
"BH-01758"	6	2014	"SB"	682	2580	"m"	2020-05-01	474.8	"6"	2020	140.2	3	1201.9
