"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"dist"	"d18O"
"BH-91053"	"Ziese"	"Freshwater"	0.000988777777777778	0.00570222222222222	3.16222222222222e-05	9.49e-06	4.7122222222222e-06	357.5	-6.8649616
"BH-91053"	"Ziese"	"Freshwater"	0.000991777777777778	0.00579555555555556	3.08222222222222e-05	9.69111111111111e-06	4.70666666666665e-06	363	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.00100233333333333	0.00589222222222222	3.02666666666667e-05	1.01e-05	5.09555555555554e-06	368.5	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.00101344444444444	0.00595777777777778	2.98777777777778e-05	1.157e-05	5.86555555555554e-06	374	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.00102022222222222	0.00604333333333333	2.92555555555556e-05	1.30477777777778e-05	6.58444444444443e-06	379.5	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.00103022222222222	0.00616555555555556	2.84888888888889e-05	1.44255555555556e-05	7.21999999999998e-06	385	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.00103911111111111	0.00621888888888889	2.87444444444444e-05	1.52644444444444e-05	7.62777777777776e-06	390.5	-7.9513728
"BH-91053"	"Ziese"	"Freshwater"	0.001058	0.00625666666666667	2.83666666666667e-05	1.59111111111111e-05	7.96111111111109e-06	396	-7.9513728
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00220555555555556	0.00697888888888889	7.99555555555556e-05	2.61777777777778e-05	4.22333333333333e-05	77	-6.127754
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00216555555555556	0.00693111111111111	7.80666666666667e-05	2.48666666666667e-05	4.30222222222222e-05	82.5	-6.127754
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00214	0.00690222222222222	7.57222222222222e-05	2.33111111111111e-05	4.36888888888889e-05	88	-6.127754
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00212555555555556	0.00691888888888889	7.39555555555556e-05	2.21888888888889e-05	4.36888888888889e-05	93.5	-6.127754
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00216666666666667	0.00697444444444445	7.41777777777778e-05	2.22333333333333e-05	4.37333333333333e-05	99	-6.127754
"BH-91054"	"Sehrowbach"	"Freshwater"	0.0022	0.00698555555555556	7.40111111111111e-05	2.25777777777778e-05	4.36222222222222e-05	104.5	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00225333333333333	0.00703222222222222	7.45555555555556e-05	2.30444444444444e-05	4.42333333333333e-05	110	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00231111111111111	0.00706555555555556	7.50555555555556e-05	2.35666666666667e-05	4.47888888888889e-05	115.5	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00236333333333333	0.00711444444444444	7.61333333333333e-05	2.41222222222222e-05	4.57111111111111e-05	121	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00242222222222222	0.00717	7.68333333333333e-05	2.45444444444444e-05	4.72222222222222e-05	126.5	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00249555555555556	0.00717444444444445	7.63444444444444e-05	2.51333333333333e-05	4.84777777777778e-05	132	-6.4478573
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00256888888888889	0.00718555555555556	7.59888888888889e-05	2.59444444444444e-05	4.96333333333333e-05	137.5	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00262888888888889	0.00718333333333333	7.48222222222222e-05	2.65666666666667e-05	5.03666666666667e-05	143	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00268777777777778	0.00722	7.32444444444445e-05	2.69222222222222e-05	5.06444444444444e-05	148.5	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00275333333333333	0.00723333333333333	7.22222222222222e-05	2.71111111111111e-05	4.98888888888889e-05	154	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00283	0.00723444444444444	7.02333333333333e-05	2.75111111111111e-05	4.80888888888889e-05	159.5	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00292777777777778	0.00720555555555556	6.87777777777778e-05	2.78888888888889e-05	4.61111111111111e-05	165	-5.6039486
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00302777777777778	0.00720111111111111	6.71555555555556e-05	2.86777777777778e-05	4.36555555555556e-05	170.5	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00310777777777778	0.00726	6.67333333333333e-05	2.96888888888889e-05	4.11888888888889e-05	176	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00316777777777778	0.00734555555555556	6.67222222222222e-05	3.09555555555556e-05	3.88e-05	181.5	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00321333333333333	0.00741666666666667	6.68222222222222e-05	3.21333333333333e-05	3.67555555555556e-05	187	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00325444444444444	0.00738	6.62e-05	3.26888888888889e-05	3.51777777777778e-05	192.5	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00331777777777778	0.00734777777777778	6.49777777777778e-05	3.27777777777778e-05	3.35222222222222e-05	198	-5.1965444
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00334777777777778	0.00716	6.17777777777778e-05	3.19777777777778e-05	3.16555555555556e-05	203.5	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.0034	0.00703222222222222	5.92111111111111e-05	3.14333333333333e-05	3.02555555555556e-05	209	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00344222222222222	0.00694777777777778	5.65111111111111e-05	3.11333333333333e-05	2.98222222222222e-05	214.5	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00361333333333333	0.00694666666666667	5.62444444444444e-05	3.17e-05	3.09444444444444e-05	220	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00384222222222222	0.00686888888888889	5.59555555555556e-05	3.26777777777778e-05	3.16888888888889e-05	225.5	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00406555555555555	0.00676666666666667	5.59222222222222e-05	3.37555555555556e-05	3.19222222222222e-05	231	-6.5836587
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00426888888888889	0.00667555555555556	5.61111111111111e-05	3.46444444444444e-05	3.12555555555556e-05	236.5	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00448222222222222	0.00667666666666667	5.67111111111111e-05	3.58555555555556e-05	3.07333333333333e-05	242	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00470333333333333	0.00672	5.94222222222222e-05	3.75111111111111e-05	3.06222222222222e-05	247.5	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00491444444444444	0.00691333333333333	6.15222222222222e-05	3.98e-05	3.11333333333333e-05	253	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00505444444444444	0.00701	6.19444444444445e-05	4.10111111111111e-05	3.11888888888889e-05	258.5	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00513777777777778	0.00706777777777778	6.18444444444444e-05	4.14666666666667e-05	3.02111111111111e-05	264	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00499555555555556	0.00688333333333333	5.88111111111111e-05	4.00555555555556e-05	2.77444444444444e-05	269.5	-6.1665544
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00481222222222222	0.00671888888888889	5.57777777777778e-05	3.78666666666667e-05	2.57333333333333e-05	275	-6.6321592
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00466333333333333	0.00653666666666667	5.25888888888889e-05	3.57666666666667e-05	2.46222222222222e-05	280.5	-6.6321592
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00462	0.00644	4.99666666666667e-05	3.46444444444444e-05	2.45444444444444e-05	286	-6.6321592
