"name"	"id"	"waterbody"	"month"	"year"	"identifier"	"Lat"	"Long"	"type"	"SAL"	"WT"
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.3344547005988	13.64961	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36363	13.6558	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36244	13.65191	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36152	13.65199	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.3621	13.64831	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36042	13.64629	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36014	13.64987	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.37	13.68391	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36895	13.68644	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36579	13.68398	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36362	13.68781	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36902	13.69419	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.36278	13.69017	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	4	2022	"4_2022"	54.450754	13.198909	"Coast"	7.83428571428571	7.22857142857143
"sampling instance"	"BH"	"GB"	7	2021	"7_2021"	54.361377	13.655548	"Coast"	7.3	22.425
"sampling instance"	"BH"	"GB"	7	2021	"7_2021"	54.363119	13.690805	"Coast"	7.3	22.425
"sampling instance"	"BH"	"GB"	7	2021	"7_2021"	54.362428	13.656792	"Coast"	7.3	22.425
"sampling instance"	"BH"	"GB"	7	2021	"7_2021"	54.364008	13.688461	"Coast"	7.3	22.425
"sampling instance"	"BH"	"GB"	10	2021	"10_2021"	54.361377	13.655548	"Coast"	6.275	12.975
"sampling instance"	"BH"	"GB"	10	2021	"10_2021"	54.360912	13.690215	"Coast"	6.275	12.975
"sampling instance"	"BH"	"GB"	10	2021	"10_2021"	54.362428	13.656792	"Coast"	6.275	12.975
"sampling instance"	"BH"	"GB"	11	2021	"11_2021"	54.361274	13.655677	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2021	"11_2021"	54.35825	13.6925	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2021	"11_2021"	54.36325	13.6925	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.32996	13.46104	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.32794	13.45708	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.32808	13.45889	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.33112	13.46128	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.33058	13.46086	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.33143	13.45703	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.3316	13.45679	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.33104	13.45293	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.33069	13.45762	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.26464	13.36337	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.26888	13.38162	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.27635	13.3895	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	11	2020	"11_2020"	54.2765	13.38011	"Coast"	7.14126984126984	6.25957446808511
"sampling instance"	"BH"	"GB"	12	2019	"12_2019"	54.3344547005988	13.5730506639053	"Coast"	6.54	4.18
"sampling instance"	"BH"	"GJB"	2	2020	"2_2020"	54.47363	13.44917	"Coast"	3.7875	4.0375
"sampling instance"	"BH"	"GJB"	2	2020	"2_2020"	54.55407	13.45558	"Coast"	3.7875	4.0375
"sampling instance"	"BH"	"GJB"	3	2020	"3_2020"	54.55635	13.4896	"Coast"	7.64	7.06
"sampling instance"	"BH"	"GJB"	3	2020	"3_2020"	54.54617	13.3821	"Coast"	7.64	7.06
"sampling instance"	"BH"	"GJB"	6	2021	"6_2021"	54.5416671428571	13.4474071428571	"Coast"	9.3	8.3
"sampling instance"	"BH"	"KB"	2	2020	"2_2020"	54.379184	13.128922	"Coast"	8.51428571428571	4.57142857142857
"sampling instance"	"BH"	"KB"	2	2020	"2_2020"	54.381612	13.250138	"Coast"	8.51428571428571	4.57142857142857
"sampling instance"	"BH"	"KB"	3	2020	"3_2020"	54.442055627907	13.1794830930233	"Coast"	7.65	6
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45474	13.19637	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45131	13.19787	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45537	13.20315	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.4598	13.19	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45855	13.18688	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.454838	13.178457	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45376	13.17399	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44964	13.16655	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44497	13.1559	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44568	13.14877	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45505	13.17558	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45562	13.17295	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45235	13.16795	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45549	13.18671	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.46093	13.19114	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.46517	13.19621	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45519	13.20216	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.452	13.20162	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45257	13.19637	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44299	13.16039	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44615	13.1478	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.44466	13.15406	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.442055627907	13.1794830930233	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.46093	13.1916	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.46146	13.19385	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45531	13.16896	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45082	13.2007	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45044	13.20115	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45036	13.20155	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.45108	13.2003	"Coast"	9	12.7578947368421
"sampling instance"	"BH"	"KB"	4	2022	"4_2022"	54.473	13.16482	"Coast"	9	12.7578947368421
